clase,fpr,tpr,threshold,auc
Satisfecho,6.807351940095303e-05,0.5924153818890661,0.99,0.9931723635263459
Satisfecho,6.807351940095303e-05,0.6446039340776183,0.98,0.9931723635263459
Satisfecho,0.00013614703880190606,0.6792486266170477,0.97,0.9931723635263459
Satisfecho,0.00013614703880190606,0.7079567605883396,0.96,0.9931723635263459
Satisfecho,0.00013614703880190606,0.7285132021974128,0.95,0.9931723635263459
Satisfecho,0.0002042205582028591,0.7468545100124048,0.94,0.9931723635263459
Satisfecho,0.0003403675970047651,0.7614743930533404,0.93,0.9931723635263459
Satisfecho,0.0003403675970047651,0.7765373028530923,0.92,0.9931723635263459
Satisfecho,0.0004084411164057182,0.786815523657629,0.91,0.9931723635263459
Satisfecho,0.0004084411164057182,0.796916533758639,0.9,0.9931723635263459
Satisfecho,0.0004084411164057182,0.805865674286727,0.89,0.9931723635263459
Satisfecho,0.0004084411164057182,0.8144603934077618,0.88,0.9931723635263459
Satisfecho,0.0005445881552076242,0.822789296473507,0.87,0.9931723635263459
Satisfecho,0.0008168822328114364,0.8305865674286727,0.86,0.9931723635263459
Satisfecho,0.0010211027910142954,0.8367003367003367,0.85,0.9931723635263459
Satisfecho,0.0012253233492171545,0.8422824738614212,0.84,0.9931723635263459
Satisfecho,0.0014295439074200136,0.8477760056707425,0.83,0.9931723635263459
Satisfecho,0.0017699115044247787,0.8526493000177211,0.82,0.9931723635263459
Satisfecho,0.001974132062627638,0.8576111997164628,0.81,0.9931723635263459
Satisfecho,0.002178352620830497,0.8623072833599149,0.8,0.9931723635263459
Satisfecho,0.002450646698434309,0.8661173134857345,0.79,0.9931723635263459
Satisfecho,0.0027910142954390743,0.8707247917774233,0.78,0.9931723635263459
Satisfecho,0.0031994554118447926,0.8732057416267942,0.77,0.9931723635263459
Satisfecho,0.0035398230088495575,0.8764841396420344,0.76,0.9931723635263459
Satisfecho,0.0040844111640571815,0.880648591174907,0.75,0.9931723635263459
Satisfecho,0.004424778761061947,0.8845472266524899,0.74,0.9931723635263459
Satisfecho,0.004628999319264806,0.8868509657983342,0.73,0.9931723635263459
Satisfecho,0.00517358747447243,0.8912812333864966,0.72,0.9931723635263459
Satisfecho,0.005582028590878149,0.8944710260499734,0.71,0.9931723635263459
Satisfecho,0.006194690265486726,0.8973063973063973,0.7,0.9931723635263459
Satisfecho,0.006943498978897209,0.899698741804005,0.69,0.9931723635263459
Satisfecho,0.007147719537100068,0.9027999291157186,0.68,0.9931723635263459
Satisfecho,0.007896528250510551,0.9049264575580365,0.67,0.9931723635263459
