clase,precision,recall,threshold,average_precision
Neutral,0.6317214339059,0.997641161727849,0.11,0.9605521908783283
Neutral,0.643979057591623,0.9973463069438302,0.12,0.9605521908783283
Neutral,0.6561226470017466,0.9969040247678018,0.13,0.9605521908783283
Neutral,0.6681170886075949,0.9960194604157453,0.14,0.9605521908783283
Neutral,0.6797583081570997,0.9951348960636887,0.15,0.9605521908783283
Neutral,0.6896551724137931,0.9936606221435943,0.16,0.9605521908783283
Neutral,0.7000103982530935,0.9924812030075187,0.17,0.9605521908783283
Neutral,0.7083860092709651,0.9913017838714433,0.18,0.9605521908783283
Neutral,0.7178911346380066,0.9896800825593395,0.19,0.9605521908783283
Neutral,0.7269376693766938,0.9886480908152735,0.2,0.9605521908783283
Neutral,0.7356852401362787,0.9868789621111602,0.21,0.9605521908783283
Neutral,0.7448421991747519,0.9846675512310187,0.22,0.9605521908783283
Neutral,0.7528521405173387,0.9826035677428866,0.23,0.9605521908783283
Neutral,0.7614091273018415,0.9814241486068112,0.24,0.9605521908783283
Neutral,0.7696765967311928,0.9789178829426507,0.25,0.9605521908783283
Neutral,0.775944775944776,0.9777384638065753,0.26,0.9605521908783283
Neutral,0.783556450657505,0.9750847707504054,0.27,0.9605521908783283
Neutral,0.7902047658962998,0.9728733598702639,0.28,0.9605521908783283
Neutral,0.796876891417504,0.9705145215981129,0.29,0.9605521908783283
Neutral,0.805006749294392,0.9671236915818959,0.3,0.9605521908783283
Neutral,0.8094884181840704,0.96343800678166,0.31,0.9605521908783283
Neutral,0.8163930317082341,0.9603420315494618,0.32,0.9605521908783283
Neutral,0.8235294117647058,0.957688338493292,0.33,0.9605521908783283
Neutral,0.8296999230571942,0.9538552263010467,0.34,0.9605521908783283
Neutral,0.8346946713341112,0.9491375497567448,0.35,0.9605521908783283
Neutral,0.8405036726128017,0.9447147279964617,0.36,0.9605521908783283
Neutral,0.8450424178154825,0.9398496240601504,0.37,0.9605521908783283
Neutral,0.8512951281707153,0.9351319475158485,0.38,0.9605521908783283
Neutral,0.8568132464712269,0.9307091257555654,0.39,0.9605521908783283
Neutral,0.8622252747252748,0.9254017396432257,0.4,0.9605521908783283
Neutral,0.8665371809100999,0.9208314904909333,0.41,0.9605521908783283
Neutral,0.8715570545250141,0.9143446852425181,0.42,0.9605521908783283
Neutral,0.8759943181818182,0.9091847265221878,0.43,0.9605521908783283
Neutral,0.8804191788687913,0.904172195193867,0.44,0.9605521908783283
Neutral,0.8844031367993029,0.8978328173374613,0.45,0.9605521908783283
Neutral,0.8883836902317395,0.8929677134011499,0.46,0.9605521908783283
Neutral,0.893664485425342,0.885891198584697,0.47,0.9605521908783283
Neutral,0.8974088580897861,0.8782249742002064,0.48,0.9605521908783283
Neutral,0.9017720745493432,0.8702638950316969,0.49,0.9605521908783283
Neutral,0.9068650240198357,0.8627450980392157,0.5,0.9605521908783283
Neutral,0.9117185045554508,0.8556685832227627,0.51,0.9605521908783283
Neutral,0.9140997141949825,0.8487394957983193,0.52,0.9605521908783283
Neutral,0.9190797940797941,0.8422526905499041,0.53,0.9605521908783283
Neutral,0.9210569238297178,0.8325224826772815,0.54,0.9605521908783283
Neutral,0.9230642504118616,0.8260356774288663,0.55,0.9605521908783283
Neutral,0.92673564753004,0.8186643078283945,0.56,0.9605521908783283
Neutral,0.9303701199932398,0.8115877930119416,0.57,0.9605521908783283
Neutral,0.9332990397805213,0.8024472947073567,0.58,0.9605521908783283
Neutral,0.9360069747166522,0.791390240306649,0.59,0.9605521908783283
Neutral,0.9396246458923513,0.7823971693940734,0.6,0.9605521908783283
Neutral,0.9433453237410072,0.7732566710894885,0.61,0.9605521908783283
Neutral,0.9453712190650779,0.7602830605926582,0.62,0.9605521908783283
Neutral,0.94714312302252,0.7502579979360166,0.63,0.9605521908783283
Neutral,0.9495845921450151,0.7414123544154504,0.64,0.9605521908783283
Neutral,0.9515232803219007,0.732124428718856,0.65,0.9605521908783283
Neutral,0.9540766686125706,0.7228365030222615,0.66,0.9605521908783283
Neutral,0.9581515271717572,0.7122217307975822,0.67,0.9605521908783283
Neutral,0.9600806451612903,0.7020492407489312,0.68,0.9605521908783283
Neutral,0.9618148224183946,0.6906973315642047,0.69,0.9605521908783283
Neutral,0.9648093841642229,0.6790505675954592,0.7,0.9605521908783283
Neutral,0.96733561058924,0.6679935131947515,0.71,0.9605521908783283
Neutral,0.9691170073945193,0.6569364587940439,0.72,0.9605521908783283
Neutral,0.9709276520195295,0.6449948400412797,0.73,0.9605521908783283
Neutral,0.9733031674208145,0.6342326404245909,0.74,0.9605521908783283
